geohash,avgtimetopark
c3x23qd,6.998
c3x28er,4.878
c3x28ky,8.282
c3x2k50,7.113
c3x2551,5.198
c3rpysc,3.48
c3x0qrf,5.888
c3x28ue,3.987
c3x2gm5,4.562
c3x0y8m,5.78
c3x0rph,3.255
c3x0z0p,4.996
c3x2978,6.399
c3x29vs,3.417
c3x294s,6.63
c3x29u2,3.486
c3x264n,6.98
c3x24qq,4.141
c3x22z2,4.677
c3x0wv0,4.917
c3x2dn8,5.665
c3x29ps,4.87
c3x22xh,4.565
c3x3070,5.926
c3x2hr8,3.808
c3x22yc,6.511
c3x296x,3.444
c3x0q5w,5.203
c3rrbyf,3.889
c3x29v1,4.949
c3rrb6t,3.412
c3x0sbx,3.989
c3x28e4,6.009
c3rpyzy,5.118
c3x2g5d,3.558
c3x29yk,6.023
c3rpzpe,3.886
c3x2321,6.196
c3x0zmk,2.536
c3rpz6m,3.761
c3x31kg,2.768
c3x28et,3.614
c3x2906,3.743
c3x21mk,5.346
c3x0qry,3.535
c3x0pf9,4.283
c3x29f3,5.693
c3x0q7g,3.183
c3rrfvw,2.926
c3x2hr1,4.094
c3x26nz,4.474
c3x0qrn,3.983
c3x23nx,6.568
c3rpyz8,3.265
c3x0wrd,3.671
c3x28dy,8.704
c3x29e3,5.736
c3x29sz,6.465
c3x2634,2.475
c3x0pwf,4.142
c3x29pk,4.647
c3x0z06,3.961
c3x25s6,6.646
c3x0qrh,3.922
c3x0xg2,3.896
c3x24u4,4.735
c3x2949,6.444
c3x294z,5.84
c3x0rgg,6.368
c3rrctu,6.85
c3x294t,7.208
c3x2d3g,2.055
c3x2fmv,6.456
c3x296e,6.592
c3x345x,1.926
c3x28kv,5.208
c3x22z3,6.21
c3x266p,2.654
c3x28gg,3.046
c3x295r,6.456
c3x29db,6.067
c3x294y,4.721
c3x287q,8.168
c3x28gw,4.809
c3x2b0h,3.256
c3x2b0k,2.687
c3x0z2w,2.01
c3x29er,3.665
c3x0pjz,4.919
c3x2cmu,3.912
c3x2e2r,7.296
c3x0qx0,5.755
c3x2fh0,3.611
c3x22bk,3.777
c3x2f2d,5.493
c3x0wth,3.143
c3rpzx0,3.358
c3x296d,7.299
c3x2gnz,2.327
c3rpz33,2.613
c3x26ym,5.318
c3x2e43,4.458
c3rpykf,5.058
c3x29kc,3.283
c3rpyzw,3.306
c3x2874,3.771
c3x0w57,5.013
c3x0ww0,4.007
c3x28dx,4.817
c3x28gc,6.338
c3x0z6q,6.66
c3x28n9,6.384
c3x34e5,3.107
c3x2gm6,3.68
c3x294d,6.606
c3x21ex,4.363
c3x28w5,3.483
c3x0yvd,4.824
c3x23qg,6.282
c3x2f26,5.752
c3x0qrt,5.043
c3x287m,4.371
c3x296w,4.383
c3rpyzb,4.225
c3x0m3p,6.358
c3x29jy,4.492
c3x290h,2.977
c3x2199,2.84
c3x21dg,3.628
c3x2947,5.93
c3x0n8p,6.473
c3rrcej,3.156
c3x29v5,2.844
c3rpznr,3.53
c3rpzx3,3.389
c3rrbvs,8.163
c3x28e1,5.723
c3x294f,4.636
c3x29mg,6.959
c3x0rsj,5.107
c3rrbey,3.26
c3x294x,6.475
c3x0xx4,5.624
c3x295p,5.059
c3x265r,4.391
c3x297d,5.417
c3x23gh,5.042
c3x22xx,4.958
c3x29ug,3.156
c3x0y8p,4.475
c3x2e4f,4.616
c3x28n3,6.115
c3x22bu,5.111
c3rrbd9,3.937
c3x28wc,4.799
c3x296g,6.547
c3x2f0q,5.554
c3x0qru,4.391
c3x2f3e,5.466
c3x29vk,3.892
c3x2969,6.426
c3x236t,3.24
c3x22z1,5.257
c3x0xqv,3.657
c3x28xp,3.083
c3x2cmn,5.617
c3x0ybp,3.103
c3x24qk,3.276
c3x0mrw,4.714
c3x296c,6.826
c3x313k,3.929
c3x2956,5.722
c3x0wxt,3.747
c3x28dc,3.922
c3x296u,7.543
c3x0rrn,5.786
c3x297m,6.98
c3x29e0,5.683
c3x297h,6.987
c3x0nb5,2.668
c3x297r,6.169
c3x0zke,2.402
c3rpyxf,3.023
c3x0xq3,6.601
c3x0szr,5.494
c3x2fg0,6.546
c3x296s,5.196
c3x297n,6.172
c3x2gh3,5.256
c3x27pm,3.905
c3x29s5,5.879
c3x0wx2,1.758
c3x0wk7,2.976
c3x0z90,4.226
c3x0vbm,8.281
c3x0wew,3.572
c3x2g56,5.522
c3x0q79,8.983
c3x28fw,3.601
c3x22xz,5.768
c3x2633,3.965
c3x29hb,3.601
c3x21td,6.362
c3x2970,6.864
c3x2968,7.198
c3x21rn,6.621
c3x21fv,1.793
c3x297p,5.796
c3x296b,6.502
c3x0vbq,7.401
c3x26td,10.533
c3x2gmy,2.878
c3x297s,5.166
c3x0v5t,2.284
c3x0ybm,4.469
