geohash,avgtimetopark
dxfy179,3.8
dxfwpk6,5.078
dxfy127,5.795
dxfy0c7,5.015
dxfy31x,4.635
dxfy111,5.052
dxfy60r,2.952
dxfwrx2,4.908
dxfy116,3.86
dxfy1f8,3.442
dxfvg1h,5.257
dxfy2en,3.34
dxfwrhd,4.468
dxfwxj1,1.642
dxfwwwh,5.252
dxfvbr9,5.08
dxfy01k,4.825
dxfwmmg,3.382
dxfwrrx,2.872
dxfwnby,5.455
dxfy10d,4.747
dxfy31t,3.83
dxfy1db,5.528
dxfy2dk,5.039
dxfvcju,4.653
dxfy3dm,4.002
dxfy1cm,4.575
dxfy2ex,3.822
dxfy3m3,9.903
dxfy26w,3.953
dxfy3d0,2.2
dxfy1x6,3.23
dxfy06m,5.57
dxfy2gg,3.288
dxfy319,5.161
dxfwp89,4.396
dxfy3by,8.653
dxfy1j5,2.74
dxftzjz,5.803
dxfwp1e,4.882
dxfwp1u,3.591
dxfw7ty,2.665
dxfy4je,3.227
dxfy2dt,4.37
dxfwrrn,4.27
dxfy0zb,6.912
dxfy357,3.539
dxfvcnv,5.405
dxfvb89,5.177
dxfy4e5,2.668
dxfy33p,3.747
dxfw4rx,5.238
dxfy318,3.262
dxfy37j,4.208
dxfy0bx,4.296
dxftzq3,4.103
dxfy391,3.421
dxfy046,4.536
dxfvcqw,4.85
dxfvcqh,4.368
dxfy0d5,5.518
dxfy0cu,5.936
dxfw6cf,4.401
dxfvcq1,5.181
dxfvb3d,4.504
dxfvcrh,7.011
dxfwp6v,4.39
dxfy1jc,2.186
dxfy2dx,7.179
dxfvb72,3.432
dxfvcqy,6.538
dxfvcng,5.339
dxfwp86,4.282
dxfy1j3,5.3
dxfy4jw,4.157
dxfy110,4.782
dxfvcqe,5.132
dxfy3eh,3.388
dxfvcjf,4.833
dxfy0yx,4.751
dxftz0d,4.586
dxfy024,3.276
dxfvcnp,5.513
dxfvbym,3.514
dxfwjbm,1.981
dxfy2cn,3.631
dxfvcn4,4.597
dxfvcnq,4.492
dxfy1bp,4.718
dxfvbqc,2.753
dxfwwwd,5.278
dxfy1pd,5.787
dxfvcnt,3.774
dxfy2gj,7.172
dxfy4jy,5.332
dxfvcqt,4.95
dxfvcnn,4.154
dxfy312,8.776
dxfy1x1,2.271
dxfy348,3.177
dxfy36p,4.31
dxfvcqv,7.165
dxfwxkk,8.253
dxfy2ez,4.868
dxfy07r,2.783
dxfy3ej,4.451
dxfy10c,3.928
dxfy2b7,6.669
dxfvcq5,4.565
dxfy04x,4.749
dxfvg1m,6.41
dxfwrx8,5.408
dxfwpnb,4.154
dxfy0f1,3.91
dxfwrh0,3.173
dxftzpc,3.09
dxfy115,4.727
dxfy16z,4.706
dxfwqhy,4.335
dxfy0cc,4.683
dxfvbvk,5.933
dxfy2e0,6.655
dxfvbqb,4.373
dxfy2fs,5.502
dxfy2f6,4.993
dxfvcn9,4.274
dxfy0gb,8.85
dxfy0f2,4.102
dxfvbzt,4.676
dxfwwzg,3.227
dxfy32z,3.227
dxfwp10,5.131
dxfy16y,4.519
dxfy122,3.688
dxfvbz2,4.81
dxfy2d0,3.267
dxfy12d,4.772
dxfwqup,3.926
dxfy10t,6.539
dxfwqbb,4.471
dxfy1hr,4.82
dxfybwb,3.626
dxfy3d1,2.47
dxfy3d9,4.074
dxfwrrt,4.337
dxfy08p,3.886
dxfw6cg,4.837
dxfy2gn,4.457
dxfy70d,5.22
dxfvbrd,4.764
dxfy0cs,3.066
dxfvg1f,7.822
dxfy1e4,6.451
dxfy4m2,4.396
dxfwwx6,5.293
dxfy1e2,3.737
dxfy30f,5.759
