geohash,avgtimetopark
dpxq0d5,3.769
dpxnp13,4.729
dpxnn8p,3.981
dpxmcx7,4.855
dpxjzj3,1.788
dpxjv50,1.874
dpxjzx7,2.531
dpxjyqu,4.198
dpxnp8w,3.352
dpxjwzv,2.021
dpxnnk6,2.964
dpxjv9b,2.257
dpxmcvn,2.052
dpxmg3y,2.791
dpxnncr,2.569
dpxmbrk,2.926
dpxnn5m,3.836
dpxnm5x,1.55
dpxq019,6.255
dpxjyek,3.424
dpxjv94,4.85
dpxjzkg,1.657
dpxjtxd,3.545
dpxmf4w,1.645
dpxmc52,4.121
dpxjzxr,3.424
dpxm251,2.138
dpxmbnv,3.576
dpxq129,2.891
dpxnjcu,3.531
dpxjxtr,2.164
dpxmcvf,2.941
dpxnp9e,6.981
dpxq02j,3.257
dpxjz1v,2.571
dpxmfq5,2.667
dpxnp4v,5.552
dpxnp4u,3.362
dpxmbs8,4.426
dpxjz16,4.024
dpxjyun,2.343
dpxjz77,5.436
dpxjzph,2.7
dpxjy18,3.552
dpxmbwz,2.552
dpxjump,2.698
dpxm8r9,5.133
dpxnj4u,4.907
dpxnw1j,2.583
dpxmcsj,4.06
dpxmbkz,1.212
dpxjv0h,3.074
dpxjepu,2.726
dpxnn83,2.155
dpxnnts,3.607
dpxnh4k,2.157
drb6k7z,2.319
dpxmckp,4.138
dpxnnfc,4.312
dpxjv9m,4.314
dpxmc5s,3.302
dpxq0q7,5.155
dpxnh3y,2.607
dpxjyfu,2.669
dpxmfnx,4.148
dpxjyrm,3.805
dpxm8qv,2.705
dpxjus7,1.833
dpxjyd7,3.693
dpxnhkq,3.676
dpxntbq,2.771
dpxnj6q,3.352
dpxjyzw,4.254
dpxmbq0,1.665
dpxmf5h,3.41
dpxnp5c,2.59
dpxnp4g,6.14
dpxnhkt,3.133
dpxnp1w,3.967
dpxq0w0,1.788
dpxjvrz,3.367
dpxjzrf,2.335
dpxm8m6,2.981
dpxjwxd,3.096
dpxjyj6,3.125
dpxnjdu,5.371
dpxnnfy,3.696
dpxnn5c,4.894
dpxnp38,4.304
dpxnntu,2.817
dpxnhkg,6.548
dpxjer9,3.383
dpxnhhu,4.185
dpxjvq9,3.743
dpxn407,4.11
dpxjyzv,2.748
dpxnnfu,3.908
dpxq03j,2.663
dpxmbp7,3.56
dpxjzes,1.117
dpxmchv,3.394
dpxnmrq,2.74
dpxjxpt,3.29
dpxnn5r,3.55
dpxnp3g,3.417
dpxnqp3,2.135
dpxmc5e,3.615
dpxmgdy,2.927
dpxjy7s,4.096
dpxmguz,2.552
dpxjy8z,3.421
dpxnn9k,4.565
dpxjrfv,4.048
dpxjxnn,5.404
dpxm8qt,1.944
dpxmftm,4.154
dpxjvev,3.554
dpxmbxc,2.64
dpxnp3f,3.783
dpxjy0z,2.029
dpxnj36,4.354
dpxjzze,4.973
dpxnp84,4.477
dpxjzkv,2.427
dpxnp5n,3.823
dpxjxxp,1.906
dpxq084,3.073
dpxm8s2,1.867
dpxjve3,2.25
dpxjueu,1.833
dpxnhp2,1.613
dpxq015,2.146
dpxjvs5,4.138
dpxm8ks,3.404
dpxq0qx,5.756
dpxnnu2,4.738
dpxjue2,2.763
dpxq08v,6.802
dpxnp3n,4.013
dpxq02n,3.083
dpxnp16,3.188
dpxnnfz,2.517
dpxmczs,3.448
dpxnmts,4.611
dpxnp34,5.472
dpxjgfj,1.802
dpxmf52,3.502
dpxjzxu,4.748
dpxjyf5,3.193
dpxmczg,4.748
dpxnp0r,3.763
dpxjuvx,4.496
dpxmg6y,2.372
dpxnjge,3.494
dpxnn5k,3.241
dpxnp3d,5.656
dpxmcqz,2.644
dpxjuhc,3.922
dpxjyt0,4.257
dpxnn4s,3.932
dpxnnwr,2.748
dpxjzzw,9.81
dpxjuug,2.604
dpxjzzh,2.146
dpxnp68,4.298
dpxmb7r,1.648
dpxjgfd,2.08
dpxjg74,2.7
dpxnp3y,8.207
dpxjvu9,2.987
dpxnp1g,2.276
dpxnp3x,3.359
dpxnmwn,3.132
dpxnngp,4.544
dpxq00c,2.337
dpxjvxe,3.539
dpxnw38,2.935
dpxnp0b,2.078
dpxmcvj,2.769
dpxjvyh,3.119
dpxnp9h,3.963
dpxjvvj,2.885
dpxnp6d,2.741
dpxjwxq,3.87
dpxngdr,4.056
dpxjt91,2.863
dpxq0gh,2.294
dpxjzz6,3.035
dpxnp8y,5.232
dpxjyh3,2.185
dpxnj37,7.478
dpxnne1,6.82
dpxmbu1,4.376
dpxjy5h,4.757
dpxmbu0,4.754
dpxmckb,2.372
dpxjyv8,3.139
dpxmbr7,3.53
dpxnmkp,6.075
dpxq01v,6.247
dpxjzwt,1.343
dpxnj5n,3.403
dpxnp6e,2.852
dpxmgk3,4.478
dpxnp5g,5.565
dpxnhs8,4.317
dpxm8sw,3.918
dpxnhs7,5.897
dpxjypx,4.31
dpxjxue,3.54
dpxjvn6,4.827
dpxnnbd,5.702
dpxq00w,1.228
dpxjgsn,2.473
dpxjusq,3.697
dpxjrdy,3.012
dpxnp2t,3.798
dpxnnth,2.423
dpxnn5x,3.632
dpxnnbj,3.11
dpxjzye,2.913
dpxnt95,1.773
dpxmbr1,5.077
dpxjukv,2.288
dpxnp1y,2.138
dpxm245,2.262
dpxjz8f,3.107
dpxjgt9,1.36
dpxmfkb,4.065
dpxnpd4,3.148
dpxnnfe,3.538
dpxnp8t,2.167
dpxmcs7,3.235
dpxjtzv,2.44
dpxnn9d,4.558
dpxnn3n,4.827
dpxjxye,2.373
dpxm8n5,1.973
dpxnn5j,4.753
dpxjzp7,4.715
dpxjxpv,3.253
dpxnp3k,3.595
dpxmb0t,3.018
dpxju9f,2.978
dpxnmw5,1.945
dpxjvk1,1.975
dpxmfk9,2.917
dpxnn4h,4.155
dpxnh4b,2.953
dpxjuv0,2.342
dpxnnes,3.692
dpxmcqn,5.55
dpxmbq9,2.212
dpxjy2k,2.4
dpxnp8s,2.95
dpxnnk0,2.985
dpxmb6k,4.244
dpxnuh6,2.006
dpxnp4n,2.824
dpxmcxr,9.023
dpxnp9j,2.323
dpxnj19,3.249
dpxjyhr,2.452
dpxmbzr,2.552
dpxjuur,1.096
dpxnn4k,2.853
dpxnmze,3.267
dpxmck2,5.4
dpxnp4f,2.664
dpxn9wv,3.591
dpxjg97,3.355
dpxq02m,3.499
dpxnhsv,2.905
dpxmcq3,3.506
dpxjy5d,2.944
dpxq0bd,3.236
dpxnnek,5.352
dpxjy3n,2.406
dpxjzkf,3.321
dpxjg6r,2.197
dpxnnf3,5.33
dpxnp27,2.71
dpxjuyp,3.057
dpxjvm8,3.512
dpxmchk,1.769
dpxjy54,3.482
dpxjxyu,4.361
dpxjrc2,3.594
dpxjzeh,1.775
dpxmbbh,3.649
dpxmbjs,1.265
dpxnhkw,2.133
dpxju3k,2.901
dpxm8pz,3.182
dpxjyz3,3.994
dpxjxpx,4.607
dpxnngd,5.401
dpxmbys,2.393
dpxjvq6,3.707
dpxmbuk,2.33
dpxnmkq,5.618
dpxjkq7,4.618
dpxnn64,3.561
dpxnns5,4.06
dpxjg9e,1.494
dpxmb8w,2.032
dpxjypd,2.313
dpxm86v,3.077
dpxnp43,3.022
dpxnnc5,2.787
dpxnmmt,3.217
dpxmcqp,4.244
dpxnnfw,7.249
dpxjz5e,4.063
dpxmfs8,3.287
dpxnhff,3.268
dpxjdys,3.522
dpxnp7g,4.741
dpxmft7,2.646
dpxjzxs,2.54
dpxnjcx,3.089
dpxnn1b,3.539
dpxjxny,1.255
dpxnngq,3.996
dpxmcr1,4.641
dpxjzyv,2.794
dpxmbgf,6.617
dpxnj6u,3.697
dpxnpdq,5.835
dpxmfnb,4.006
dpxjepy,3.722
dpxnp98,2.223
dpxnn5q,2.035
dpxnnf1,3.427
dpxjxxh,2.793
dpxq00x,2.879
dpxjv98,3.526
dpxnn1q,2.688
dpxjy55,3.469
dpxnp3w,3.962
dpxmf4r,1.545
dpxjyq5,1.17
dpxjv0s,1.157
dpxjvzb,2.008
dpxmcty,2.283
dpxjz3b,3.862
dpxjrch,3.677
dpxjrc1,2.117
dpxnpc4,8.448
dpxmbxx,3.301
dpxjukm,1.941
dpxnn42,2.952
dpxjvbv,3.395
dpxmcqq,2.407
dpxq0j3,7.116
dpxq03v,3.36
dpxjybv,2.995
dpxnn7u,2.82
dpxjxuc,2.959
dpxmcpz,4.188
dpxntc1,4.23
dpxnngm,4.177
dpxjymp,4.341
dpxjzr0,4.49
dpxnp1v,3.239
dpxnp9x,3.297
dpxnng7,2.967
dpxjz0j,4.041
dpxjzh0,1.458
dpxmb0d,2.438
drb6my2,1.134
dpxjyj9,2.672
dpxjv7v,3.453
dpxnn45,3.736
dpxju40,2.08
dpxnp95,2.473
dpxjys2,2.173
dpxjvy5,1.44
dpxnn54,4.056
dpxnp9r,3.528
dpxjy2n,4.008
dpxmcwn,3.082
dpxjy12,4.133
dpxjymf,4.905
dpxq05g,6.608
dpxmcxt,3.363
dpxjz47,1.593
dpxq103,4.064
dpxnj6c,2.523
dpxjzzf,2.627
dpxnp8m,5.45
dpxnn37,3.228
dpxjzzd,1.972
dpxnpb5,5.766
dpxnnk7,3.339
dpxmfw9,1.609
dpxm210,2.338
