geohash,avgtimetopark
dpz2nun,3.894
dpz88x1,4.964
dpz96bh,7.833
dpz89ny,4.086
dpz8cp0,5.008
dpz8312,7.022
dpz90bc,3.044
dpz8u24,4.253
dpz2wu7,7.814
dpz89kk,7.553
dpz3p1t,4.956
dpz959c,6.075
dpz82d7,4.331
dpz867b,7.478
dpz2ryn,2.239
dpz82yv,4.775
dpz9kdv,5.197
dpz2x81,4.65
dpz2t2j,4.042
dpz82th,6.203
dpz2we4,6.572
dpz2trc,6.236
dpz8byg,3.164
dpz90g0,6.072
dpz2q2f,4.464
dpz2rer,5.478
dpz8b1r,3.319
dpz940s,8.044
dpz2x17,5.156
dpz8c0b,4.497
dpz2prz,3.253
dpz2rxv,5.964
dpz8c97,3.014
dpz2wxg,7.817
dpz8gtp,5.953
dpz9nkh,4.328
dpz8vns,3.331
dpz9k2u,4.486
dpz2jdz,4.558
dpz8ge9,6.308
dpz3p4h,4.864
dpz2t79,2.519
dpz83ev,5.425
dpz942n,4.619
dpz90kw,4.292
dpz2sw2,6.578
dpz82r2,6.247
dpz8909,6.706
dpz8222,5.628
dpz824m,5.425
dpz87z5,4.525
dpz2w8h,3.847
dpz2tcu,3.061
dpz87wp,6.297
dpz82tj,4.586
dpz827t,5.825
dpz82kr,5.997
dpz2w8d,4.842
dpz2q09,4.356
dpz2r6x,5.728
dpz2xsw,5.844
dpz88zk,4.589
dpz2m0g,6.542
dpz82pp,4.194
dpz8gsr,4.047
dpz86kn,6.456
dpz89q5,5.311
dpz87yz,6.178
dpz86tt,6.769
dpz8dtr,3.578
dpz2u2z,5.839
dpz955u,3.236
dpz89jx,5.808
dpz8c51,3.931
dpz2q9u,3.564
dpz8gb9,5
dpz2rv1,5.853
dpz8dk4,4.367
dpz2rx1,4.458
dpz2yqp,4.392
dpz832n,7.139
dpz3p2k,6.603
dpz3nbz,5.242
dpz2xb7,6.067
dpz834w,6.011
dpz82pk,7.492
dpz94ww,7.164
dpz9k37,3.758
dpz957t,5.942
dpz9jjj,2.967
dpz2sgy,5.114
dpz8vzx,6.506
dpz8dmx,5.394
dpz8b3j,5.203
dpz9pj3,6.244
dpz2vxe,4.408
dpz831f,6.464
dpz8cmv,4.539
dpz87jd,7.392
dpz8gc6,4.872
dpz2r43,6.644
dpz8sz2,4.147
dpz2vh9,5.181
dpz95de,3.733
dpz8d2t,4.406
dpz2t5c,6.514
dpz87mq,3.642
dpz87xu,4.764
dpz9nvh,4.006
dpz86e3,5.15
dpz8ufw,3.672
dpz2sb6,3.619
dpz88cc,4.881
dpz2rxb,4.506
dpz8c22,6.661
dpz8ukc,5.064
dpz3p67,6.381
dpz834m,6.306
dpz2yry,6.85
dpz2mqz,4.417
dpz2ug1,3.175
dpz2wr4,5.064
dpz2nvf,5.911
dpz86gz,7.547
dpz9ksn,8.564
dpz9hdb,5.853
dpz83wr,7.567
dpz8ffw,2.631
dpz2xwt,5.508
dpz8sjm,4.975
dpz830j,5.267
dpz2ynp,5.714
dpz962j,5.656
dpz8b1c,5.075
dpz2pjf,2.358
dpz2y7r,2.672
dpz2r5x,5.914
dpz95bm,4
dpz8sh0,5.056
dpz89rs,6.819
dpz8yp5,3.767
dpz2mwg,3.153
dpz2uen,5.5
dpz83n5,6.594
dpz88t1,5.9
dpz2vxw,6.989
dpz2rm1,4.292
dpz2m46,5.236
dpz3n03,3.59
dpz2pm1,5.161
dpz8ujv,3.494
dpz8vnt,2.956
dpz8295,7.142
dpz8bfy,5.669
dpz2yw9,6.247
dpz8vrm,4.389
dpz2ymr,3.644
dpz83cj,5.422
dpz2je1,6.164
dpz2ys7,4.542
dpz2yde,2.931
dpz2w1x,4.061
dpz87px,4.556
dpz8f3k,7.614
dpz9k9q,5.197
dpz82u1,8.631
dpz9575,3.244
dpz2jee,5.203
dpz8utt,6.303
dpz83nx,7.622
