geohash,avgtimetopark
f241vjp,5.05
f2469xu,5.186
f241khy,5.303
f244r60,4.611
f244jzd,6.014
f244qvy,7.122
f241sdc,2.797
f243b49,6.667
f244qg0,10.606
f244ht8,4.497
f244k9v,5.872
f241zp6,4.233
f244ms9,6.269
f21cxbu,4.214
f244my5,5.436
f244jmz,10.356
f244m6w,3.081
f244nkw,4.989
f244mw9,5.275
f241ynx,3.936
f21f4r3,3.564
f244mzf,5.822
f21cwzd,4.314
f241f4p,5.289
f2418wg,4.622
f244mmx,9.203
f246dmm,5.044
f244xfz,3.956
f244mwz,5.481
f244m68,3.564
f2412s6,3.353
f241yp8,5.706
f241m2y,5.467
f24193d,7.206
f244mrp,5.253
f24180v,5.144
f241zcc,6.339
f244jwz,3.889
f244msq,7.71
f241t4d,3.606
f244qy6,5.971
f24190r,2.995
f244p6b,4.902
f244pqt,7.345
f244k0j,5.529
f244hdh,4.055
f244qjn,4.064
f244hsv,4.421
f2412rj,3.055
f246dw7,3.417
f244ns6,5.795
f244r1y,5.283
f244ndz,2.71
f244tb3,5.195
f244m1u,6.25
f244peg,2.329
f244r76,3.66
f241sc3,5.6
f241grt,7.391
f244xcz,8.993
f244qpb,4.738
f244ne1,6.017
f24180y,4.75
f244m30,4.729
f244rx6,3.664
f241c1q,5.319
f246d72,3.543
f2417xf,3.074
f244mcc,5.414
f241key,3.498
f244mfq,3.191
f244jyx,6.721
f2469gp,5.252
f244njh,7.462
f244mqr,4.983
f244j52,2.805
f2419sc,3.5
f244m7t,4.56
f244rnn,4.769
f244m85,4.512
f246d6t,6.745
f241s4b,4.029
f24452w,3.114
f2418wu,2.765
f2469ff,5.364
f244rqt,4.695
f244q67,4.9
f244n72,4.691
f244n8u,4.841
f241xzg,6.681
f244n8x,3.683
f244jqr,7.283
f244hqr,4.141
f244h94,4.09
f2469dq,3.383
f2469wg,5.893
f241kg8,5.174
f2419jf,3.46
f241vsd,3.169
f244mb5,4.593
f244n8h,6.062
f244wc3,6.255
f241ssb,5.157
f244mef,4.895
f241npk,3.217
f244ntj,3.219
f244qer,4.362
f241zp5,3.774
f244huv,3.152
f244k9q,4.807
f241fuy,5.045
f244qv9,5.345
f244mv3,3.662
f2418ek,4.574
f241b2e,3.586
f241f2w,3.345
f246d6d,3.191
f24145m,5.036
f2469hj,2.521
f244m0q,4.581
f244hmf,4.641
f241k5q,8.202
f246d6e,5.36
f241gz7,5.386
f244mvn,5.376
f244j1c,5.719
f244hq3,4.733
f241uyq,3.548
f246d62,3.443
f241t9v,3.424
f244hpg,5.676
f244hw5,4.407
f241gqq,3.819
f241mxs,6.521
f244jw1,4.245
f244qfn,3.688
f2469gh,5.298
f244md6,3.491
f2469w9,5.224
f244mry,3.564
f241uxy,4.438
f246f16,4.105
f244j23,2.512
f241b2x,5.481
f244m4n,5.193
f244015,4.002
f244mfm,5.125
f2418vg,5.121
f244qdz,4.512
f244jqx,5.395
f21fsuh,2.95
f244ms7,7.005
f244kc3,4.474
f244ne0,5.291
f241z29,2.524
f241tk4,3
f244mfp,3.771
f241ks8,4.617
f2418vj,2.786
f2419ne,4.771
f246dx9,2.988
f244qej,5.391
f244ref,5.333
f241fey,7.269
f244hpk,5.202
f244r1u,4.812
f241fes,4.736
f241cnz,4.557
f241kju,6.341
f244mfz,4.505
f244k9m,5.25
f2418wy,3.064
f244hvk,3.988
f244w8v,4.007
f2469jr,5.052
f244nc0,3.426
f244hd5,5.029
f2419t7,3.471
f244n7x,4.881
f244hwx,3.938
f2469b5,6.643
f244w8w,4.619
f244m7x,5.752
f241g7s,7.417
f244n8d,4.952
f244n3j,2.548
f244m7q,6.793
f2418w6,4.607
f244n6s,3.502
f244rk8,3.626
f244pqb,5.485
f21czze,2.633
f244qy4,6.073
f244mzy,3.55
f244m63,5.998
f244my9,5.015
f241vpm,2.69
f244mfu,5.15
f241b1v,2.675
f24145r,2.146
f244523,4.867
f244w8z,5.556
f2469fg,3.102
f241f6v,5.984
f244w8e,6.294
f244m8r,6.025
f2418p2,1.858
f2445eb,6.835
f24456t,6.156
f244m6t,5.06
f244w8m,4.588
f241s28,3.985
f244mdm,5.127
f241feq,5.696
f244hhe,5.023
f244r2j,3.635
f244nkn,4.577
f2468u7,2.171
f244qfh,4.252
f2468zt,3.823
f244q5c,5.542
f241s95,3.077
f244qrw,5.931
f244jeu,7.073
f244xsh,4.548
f244mwv,7.798
f2432qm,3.25
f244m65,6.917
f2419j7,3.146
f244hq7,6.621
f244mby,3.756
f244jfk,4.135
f241sv0,3.271
f244mvk,5.042
f244r34,4.56
f2419n4,2.952
f244hm0,5.56
f241t8m,5.973
f244w29,6.129
f2419vy,2.885
f244qgy,6.467
f241y4t,7.198
f2419s3,6.398
f241bsw,6.023
f244htk,2.931
f241c49,6.41
f244m33,4.383
f24456k,4.75
f244kbf,5.081
f244hh7,3.448
f241ugc,2.794
f241vhj,6.629
f21cwzp,4.425
f244m57,5.052
f241uxt,5.796
f241bqq,4.558
f246c2t,2.817
f244jz5,6.506
f244qg1,4.208
f244mu9,4.748
f244ppy,3.873
f241usz,2.442
f244xfm,6.952
f244xcd,4.177
f244wcv,3.288
f246d71,6.319
f241t8w,3.817
f244n80,4.629
f244qr1,4.619
f241few,3.669
f244hpj,5.169
f244reb,5.963
f244m4v,6.013
f241fyu,7.169
f24388n,4.871
f244hz5,5.585
f244xc6,4.394
f244m3c,4.088
f244m6f,3.269
f241gux,3.633
f244k9w,5.248
f246d7d,4.79
f244h0e,4.765
f241fyz,5.527
f244mwb,7.04
f244r8j,4.123
f241938,5.046
f241s63,3.65
f241un7,5.744
f244026,3.346
f2418rd,6.785
f244k2y,6.681
f241s98,6.006
f246f3s,3.913
f2445en,4.919
f244qnq,5.096
f244q4z,7.544
f24400e,4.154
f24186s,4.196
f244m9p,5.952
f2469nw,3.158
f2418xz,3.446
f244nj4,7.981
f241f69,5.942
f2469vw,2.815
f241t8j,6.335
f2418jx,5.258
f244rtv,2.365
f241uvt,5.365
f241gny,5.688
f244r44,4.84
f244mmn,6.933
f244mh8,7.633
f244rtm,4.102
f241t1y,5.985
f244k28,4.481
f241c28,3.879
f244n5z,6.631
f244myw,5.835
f241gr5,5.86
f241vv2,4.933
f244hnf,5.388
f244n3q,3.092
f244qxk,5.188
f241vke,6.592
f21cvwz,4.944
f246dx0,2.07
f244m77,4.42
f246d77,7.004
f244mwx,3.237
f244hpy,8.094
